Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
34,-0.437144,-0.493389,0.021983,-0.125089,1.123127,0.775996,1.335032,1.035335,0.506354,-0.074107,0.650639,-0.428880,-0.310159,0.322964,1
35,-0.030305,0.365139,0.425506,0.773986,-0.276502,-0.368452,-0.010118,-1.626984,0.372436,-0.506961,-0.637036,0.282224,0.127238,-0.162895,1
36,0.365502,-0.959087,-0.111432,-0.724915,-0.738619,0.006059,0.689035,-0.346390,-0.668897,-0.158625,-0.363404,-0.213301,-0.532338,-0.165977,1
37,-0.169356,-0.722937,-0.942765,-0.494859,-0.388289,0.490735,0.423918,0.645524,0.892818,0.067303,0.012166,0.104116,-0.128527,-0.290392,1
38,-0.112904,0.173014,0.271198,-0.986999,-0.389897,-0.208148,-0.733084,-0.343710,0.352948,-0.227582,-1.076768,-0.475703,-0.286595,-0.485249,1
39,-1.318512,0.768521,-1.404471,-1.228335,0.166807,-0.525311,-0.442108,-0.446898,-0.111603,-1.102057,-0.644762,-1.276082,-0.853876,-1.537724,0
40,-0.222658,1.312771,-0.212629,0.455984,0.320963,-0.361659,-0.494479,-0.568963,-0.533116,-0.403106,-0.338577,0.191516,0.165223,-0.537389,0
41,2.866172,-0.829178,0.740531,-0.299609,-1.891164,-1.993786,-0.062955,-0.700577,-0.167722,0.861206,4.175726,3.508568,5.681516,4.811320,1
42,-0.861183,-1.243855,0.100457,-0.304844,-1.364421,-0.534749,0.389109,0.024288,-0.229645,-0.838092,-0.455359,-0.499695,-1.196292,-0.813559,0
43,0.846026,0.577845,-0.106538,0.551618,-0.890084,-1.014895,-0.272145,-1.443123,-0.647827,-0.440748,-0.739999,0.501845,0.361357,1.282402,1
44,0.781320,-0.043546,-0.833575,0.428488,-0.563895,-1.422990,-0.342496,-1.207375,-0.348415,0.097610,-0.434904,-0.114554,-0.544838,0.545101,1
45,1.113275,1.888167,1.487962,1.166997,-0.223999,-0.375440,-0.655957,-0.932167,-1.438492,-1.989723,-1.538800,0.273830,-1.157636,0.675063,1
46,-0.309616,-0.098813,-0.111272,0.884021,0.779800,0.800683,0.593832,1.456594,0.340394,0.077183,0.615079,1.218461,0.496689,0.225154,0
47,1.660893,2.088235,2.888683,3.038718,3.098351,2.881240,2.719078,2.240371,2.095886,2.503459,1.390057,1.828773,1.560913,1.843430,1
48,0.258574,-0.708965,-0.904696,-0.700214,0.438452,-0.068154,-1.007899,-0.015833,-0.115695,0.113096,0.162189,-0.323539,-0.115613,-0.398117,1
49,2.813874,1.096890,1.410905,1.078640,0.439973,0.080352,0.237994,0.865157,0.623202,2.252426,2.784152,2.509762,4.228648,3.455627,0
50,0.236888,-1.039911,0.431987,-0.588498,0.423501,-0.578161,1.471527,0.194551,-0.448599,-0.589848,0.278660,0.402979,-0.685461,0.662424,1
51,-0.385325,-0.088714,-0.003990,-0.214616,-0.286502,-1.652507,1.110210,-0.642315,-0.489273,-1.111975,-0.704932,-1.099984,-0.440420,-0.489169,0
52,0.367429,-0.453869,1.079799,0.040515,-0.509627,-0.435416,-0.853264,0.036152,-0.546274,-0.073572,0.159196,-0.052899,0.329243,-0.334199,1
53,1.222258,-1.134635,0.259596,-1.311573,-0.674267,0.135560,1.134436,0.680956,1.477882,0.082703,1.442943,1.387455,1.304829,1.023740,1
54,0.078612,0.235089,0.045798,-0.906583,-0.218154,-0.150803,-1.325030,0.030489,0.097412,-0.294731,-1.476929,-0.739840,-0.566438,0.111522,0
55,-0.327308,-0.574293,-0.014949,-0.270695,-0.658590,0.177092,-0.636781,0.162794,-0.322384,-1.482236,-0.779516,0.311675,-0.316807,0.038283,0
56,-1.222958,-1.284576,-0.155508,-0.603756,-0.422432,-0.356771,-0.472957,-0.405258,-0.771028,-1.855056,-1.376466,-0.407413,-1.542535,-1.424598,0
57,-0.042041,-0.259536,-0.096918,-0.675102,-0.587721,-0.642196,-1.052172,-1.092795,-0.642490,-0.006980,-0.415583,-1.013663,0.128984,-0.241762,0
58,0.344028,-0.307745,-0.275668,-0.274263,-1.223421,-1.143794,-0.955108,0.505189,0.194607,-0.415003,-0.524191,0.241303,-0.967480,-0.084306,1
59,-0.435824,-0.267857,-0.685552,-0.861323,0.085844,-0.042762,-1.023706,-1.013523,-0.804364,-1.398389,-0.918760,-0.924338,-1.082213,-0.651158,0
60,-0.316385,0.188971,-0.319332,-0.525796,0.441699,-2.413936,1.389098,0.074941,-0.610277,0.108930,-0.398975,0.094179,-0.046080,-0.082050,0
61,-0.736772,-0.966700,-0.952157,-1.252029,-1.447543,-0.112992,-0.028433,0.237222,0.597908,0.194510,-0.173632,-0.304206,-0.673977,0.088033,0
62,-0.574139,-1.870277,-1.091606,-1.026537,-1.523536,-1.119309,-0.362245,-1.139436,-0.743852,-0.654043,-0.980914,0.692482,-0.353674,0.229554,1
63,-0.008883,0.442314,0.161997,-0.276612,0.225936,-0.367620,0.662016,0.508056,-0.215851,0.248987,0.683344,0.363250,-0.059483,0.394309,1
64,2.547221,0.767464,-0.325147,1.400450,0.216275,-0.613720,0.116624,-1.706546,-1.708848,-0.149098,0.521293,0.209901,1.192539,2.440583,1
65,0.684751,0.435802,0.934291,0.946778,1.125288,0.712368,0.690532,0.500686,0.098113,0.387360,0.810592,0.420617,0.820188,0.909340,1
66,4.218634,0.905504,1.486458,0.868907,-0.646443,-1.810590,-0.498469,-0.094904,0.071856,2.032318,5.010817,4.061122,6.057153,5.580042,0
67,-0.216434,0.686096,-0.398964,-0.198745,-0.831350,-2.120175,0.718057,-0.495122,-0.014369,0.087665,-0.089323,-0.010145,-0.627525,-0.319721,0
68,-0.496967,-0.493353,0.432129,0.103076,0.396165,0.310992,-0.385818,-0.309250,-0.040874,0.099228,0.467465,-0.388663,-0.005814,0.370900,0
69,0.018267,1.165000,-0.106009,0.472512,1.013154,1.001228,1.619711,1.228665,1.122898,0.198228,0.519981,-0.258311,0.089922,0.001963,1
70,-1.716088,0.075425,-1.229501,-0.684112,-0.062121,-0.242237,-0.283835,-0.312115,-2.447339,-2.084032,-1.759025,-1.318763,-2.603277,-2.194371,1
71,0.275091,1.559158,0.045089,0.937669,0.459635,0.825870,0.518506,-0.147411,0.277959,0.310001,-0.455521,-0.263315,0.553539,0.409360,0
72,0.594797,0.202393,0.644372,0.604880,-0.391476,-0.702108,1.603913,1.326901,1.059273,0.811282,1.438579,0.877573,0.735888,0.458647,0
73,0.424720,-0.689999,0.343098,0.779455,1.489253,0.563247,1.148312,1.073467,-0.173707,0.181900,0.707986,0.753641,1.070914,0.082374,0
74,0.340519,1.415424,0.952709,1.392032,0.872314,0.631920,0.051797,-0.551159,0.002583,0.804215,0.301027,0.276138,0.730055,0.618980,1
75,0.570202,1.534871,1.192117,2.196655,0.967116,-0.188717,0.381574,-1.165908,-0.823048,-0.440720,0.351662,-0.450575,-0.571743,0.526117,1
76,0.269886,0.415949,0.001731,0.659664,-0.907144,-0.014697,-0.703237,-1.161389,-0.749388,-0.382783,-1.304821,-0.551021,0.053190,-0.394546,0
77,0.007098,0.214591,-0.624026,-0.997285,-0.376642,-0.454474,-0.882899,-0.010410,-0.137162,-0.322319,0.132661,-0.046759,-0.777655,-0.923759,1
78,2.702113,0.585186,0.141188,0.614752,-1.315274,-1.326645,-0.883839,-1.245746,-2.337215,-0.380666,-0.463597,0.903532,2.549833,3.000242,0
79,-0.113022,-0.464562,0.454233,0.054323,-0.424967,-1.045104,-1.882266,-1.097525,-0.718974,0.273810,-0.176576,-0.383869,-0.074849,0.157804,0
80,0.108970,0.152508,0.003074,-0.594070,-0.146416,0.048969,0.434708,-0.085190,-1.080465,-0.265526,-0.995502,-0.627196,-1.079890,-0.314558,0
81,-0.036595,-0.684012,-0.371108,-0.176340,-0.637411,-0.202429,0.601203,-0.478379,0.359942,-0.126527,0.383590,0.555669,0.030573,-0.629359,0
82,-0.214031,-0.015618,0.361660,0.160622,-0.814531,-0.804207,-0.769538,-0.378172,-0.618472,0.057115,0.084953,0.217965,-0.610287,-0.386879,1
83,-0.436091,0.378682,-0.015278,0.159747,-0.504801,-0.708622,-0.169816,-1.035015,0.356770,-0.898460,-0.131265,-0.551548,-0.547872,-0.648060,0
84,0.266600,-0.731566,1.098054,1.233847,-0.837675,-0.298595,0.302287,0.496885,0.309318,-0.228479,-0.180019,0.369244,-0.037269,0.516931,1
85,0.429482,-0.257047,0.614906,-0.944110,-0.526492,-0.255461,0.656792,0.292013,0.628051,-0.380254,0.624404,0.529275,-0.596403,0.194529,1
86,-0.220357,0.096304,-0.542550,0.336431,-0.496251,0.460241,-0.761717,-0.130080,-0.294756,0.085787,0.626902,-0.009253,0.653092,0.320657,0
87,-0.292169,-0.182770,0.642910,0.118625,-0.132253,-0.053727,-0.939895,0.420922,0.145045,0.204067,-1.533044,-0.867433,0.046866,-0.138264,0
88,-0.476521,-0.300963,-0.740022,-0.368096,0.762297,0.486473,-0.078307,0.138907,0.176283,-0.045783,-0.514752,-0.777258,0.167017,-0.776859,0
89,-0.770184,-0.586890,0.039504,-0.226268,-0.917353,-0.666389,-2.077799,-1.160342,-1.419273,-1.947708,-0.968484,-0.696152,-1.056474,-0.457170,1
90,0.147564,-0.812293,-0.159079,-0.163346,-0.107180,1.187529,0.498757,0.742306,0.785706,0.740006,0.207291,0.308619,-0.064657,0.558148,0
91,-0.934718,-0.855811,-1.523793,-0.524640,-0.447306,-0.306936,-0.929568,-0.370138,0.356618,0.173306,-0.046574,-0.561469,-1.023960,-0.780784,1
92,-0.573753,0.639286,-0.167469,-0.111166,-0.212006,0.458716,1.544127,0.887449,1.906553,0.764790,0.252395,0.748084,0.578887,0.184707,1
93,-0.128565,-2.185174,-1.029387,-1.504293,-0.841714,-0.062315,0.229709,-0.548985,-0.545389,-0.468934,0.203055,-0.558819,0.356718,-0.464757,0
94,-0.107459,0.026506,0.298170,-0.179720,-0.305047,-0.544237,-0.824562,0.278522,-0.878655,-0.778813,-0.780388,-0.697323,-1.366736,-0.165235,1
95,-1.064127,-1.410758,-0.650999,-1.574782,-0.327311,-0.393306,-0.502544,0.249178,0.579525,-0.353037,0.016283,-1.142502,-0.441181,-1.033814,0
96,0.023727,0.129561,0.355167,-0.321824,0.139304,-0.399485,-0.903783,-0.262951,-0.953984,-0.362733,-0.916015,-0.054633,0.011325,-0.117098,0
97,0.781554,1.811850,-0.833869,0.424522,0.903439,-0.255115,-0.469868,0.341616,-0.366247,-0.432851,-0.071425,-0.388663,-0.286285,0.481877,0
98,0.339443,-0.052574,0.937864,0.671624,0.196471,-0.270030,-0.354288,0.324842,0.088356,-0.054402,0.180939,0.721258,0.526387,0.091794,1
99,-0.476955,-0.574840,-1.190014,-0.492721,-1.067859,0.033327,-0.551522,0.326681,-0.506808,-0.783713,-0.631169,-0.228027,-0.598305,-0.553267,0
100,0.947039,1.131061,0.250194,-0.311487,0.329155,-0.382286,1.733607,-0.233869,1.341023,0.859249,1.375482,0.964332,0.827911,0.719302,1
101,0.176360,-0.839663,-0.059002,-0.139385,0.147208,0.706899,0.574675,-0.334788,-0.729401,-0.119801,0.098863,0.478036,0.762194,-0.019078,1
102,-0.094455,-0.424886,-0.377287,-0.543881,0.143175,-0.536808,-0.912118,-0.518217,-0.969631,-0.642262,-0.224308,-0.305973,-0.508748,0.101554,1
103,-0.542119,1.397304,0.799449,0.640305,0.305702,0.311209,-0.370851,-0.410471,0.027134,0.263038,0.225915,-0.415663,0.219855,-0.671611,0
104,-0.602450,-0.397621,-0.663715,-0.490394,-0.103838,0.037181,-0.224784,0.219026,0.103226,-0.820507,0.313122,-0.315468,-0.250940,-0.263768,0
105,0.002172,0.057357,-0.856582,-0.397220,-1.430732,-1.484160,0.985172,-0.533959,-0.800695,-0.119737,-0.671793,-0.394406,-0.401853,-0.166085,0
106,1.442857,-1.086457,-0.044662,0.290527,0.101684,-0.393649,-0.267093,-1.339865,-1.207495,-0.130715,0.415626,-0.026719,0.407355,1.710015,1
107,0.286949,-0.397383,-0.844054,0.087473,-1.129362,-0.989882,-0.698994,-1.231115,-1.133705,-2.129059,-1.096874,-0.736225,-0.426354,-0.381057,1
108,-0.893473,0.922430,-1.126207,-0.911099,-0.664145,-0.856422,-0.947380,-0.740220,-1.652888,-2.070651,-1.639896,-1.964090,-1.844400,-1.490807,0
109,-1.038342,0.398850,-1.979750,0.005706,0.512789,0.500864,1.128075,-1.085011,-0.874696,-0.559020,-1.657413,-1.322603,-1.313992,-1.602419,0
110,-0.908638,-1.029037,-0.105578,-0.463104,-0.110064,-0.228761,0.294549,0.306720,0.676477,-0.453211,0.060991,-0.187232,0.163151,-0.614159,0
111,0.173127,-0.194269,-0.783894,0.011795,0.489485,0.649994,1.096392,-0.841002,0.428279,1.027232,0.424726,0.345941,0.327522,0.684035,0
112,0.435102,0.025130,0.326921,0.139889,-1.067183,1.457017,0.132593,0.663568,0.950706,0.740216,0.877245,1.030451,0.936226,0.652656,0
113,-0.640491,-1.392605,-0.253510,-0.684759,-1.280045,0.117609,0.192299,0.952999,0.776416,0.214071,-0.532836,-0.277605,-0.615967,-0.033369,0
114,-0.232119,0.079383,-1.144270,-1.045166,-0.766127,-1.303348,-0.736582,-0.441520,-0.792456,-0.131514,-0.391783,-0.576791,-0.152440,0.044479,0
115,0.983635,-0.992861,0.027478,0.967486,-1.213054,-0.224168,-0.120502,0.283975,-0.486572,-0.389305,-1.199231,-0.177698,0.576270,1.239921,1
116,-0.049887,0.558601,0.046024,0.131551,0.601867,-0.333524,-0.168116,0.091072,0.616540,-0.007300,0.168743,-0.348680,-0.243994,0.231187,0
117,-2.328392,0.891818,-1.866531,-0.519300,-0.502182,-0.007739,-0.855973,-0.898222,-1.079122,-2.217946,-2.133627,-2.899067,-1.557910,-1.449814,0
118,-1.482614,-0.663130,-1.544755,-1.048672,-0.755546,-0.030940,-0.288541,-0.610205,-0.719610,-0.909523,-0.366328,-1.138765,-1.352593,-1.789427,0
119,3.101327,-0.688640,0.777063,0.119806,-1.633951,-2.037380,-0.454649,-1.486048,-1.087530,0.422717,3.917980,3.404660,5.751298,4.520299,1
120,0.494811,0.654704,2.625716,1.737704,0.587977,1.893946,1.164906,0.276545,0.708867,0.038914,0.547748,0.811091,0.325609,0.101794,0
121,-0.557592,-0.265372,0.087860,0.040779,-0.336789,0.038967,0.161643,-1.546485,-1.208825,-0.524953,-1.470598,-0.753613,-1.197931,-0.356112,0
122,1.036643,-1.224737,-0.266245,0.008407,0.949923,-0.243702,0.091205,-0.771873,-0.230505,0.399450,0.540877,0.529956,0.766595,1.247697,1
123,-0.017978,-0.436911,0.181845,-1.106722,0.412396,0.603874,0.325248,0.449999,0.850391,1.529141,1.124927,0.944141,0.482736,0.326119,0
124,0.236954,0.705838,0.660151,1.174947,-0.015361,-0.589587,0.018574,0.158931,-0.457505,-0.474781,-0.185792,0.070210,0.372234,0.349644,0
125,0.375710,2.053329,0.802114,0.116966,0.477177,0.545587,-0.414210,0.171067,0.790260,0.331778,0.626859,0.110790,0.342743,-0.092839,0
126,-0.446283,-1.303949,-1.298258,-1.022506,-1.375847,-0.393945,0.660678,-0.110695,-0.014092,-0.172656,-1.189342,-0.732931,-0.088756,-1.024052,1
127,2.310149,2.586759,0.585523,2.235612,0.367726,0.263620,0.351647,-0.700212,-0.613850,0.822277,1.177833,1.597430,0.693874,2.245490,0
128,0.052252,0.189433,0.612846,0.376227,0.193889,-0.564738,-1.143742,-0.548679,-1.041645,-1.209333,-0.274889,0.122577,-0.899337,-0.627176,0
129,0.369289,0.176142,0.112757,0.152693,-0.140258,0.404677,0.337435,-0.853786,-0.694113,0.050736,-0.921513,0.357157,-0.263509,0.262982,0
130,0.581263,0.345131,1.465812,0.909289,0.273173,0.583765,0.249342,0.825866,-0.032791,0.286635,0.586901,1.134225,0.691681,0.339326,0
131,-0.156679,0.933842,0.278471,0.683465,0.760876,0.542582,0.820216,-1.175543,-1.836556,-1.221180,-0.091038,-0.841238,-0.937135,-0.166359,1
132,-1.128861,-0.481410,-0.568462,-0.560425,-0.006194,0.189802,1.772614,-0.947488,-1.140378,-2.064658,-0.469574,-1.015893,-1.762530,-0.576183,1
133,0.727728,-2.740951,-1.010852,-2.073672,-1.089100,-0.672108,1.383170,1.758722,1.987529,1.326792,2.298780,1.708398,2.862768,1.314344,1
134,0.233804,-0.113898,-0.197822,0.004129,0.150403,-0.252235,-0.063328,0.198108,-0.102279,0.109923,0.097213,0.405564,-0.896479,-0.001572,1
135,0.224114,-0.498941,0.413509,-0.545695,-0.480300,0.437578,0.500906,0.312690,0.342746,-0.034721,-0.108849,0.369902,-0.501942,0.076576,0
136,-0.470531,-2.583672,-1.393663,-1.219907,-1.645031,-0.931074,0.128439,0.657485,-0.459964,1.005256,-0.451460,0.409280,1.626606,0.498920,1
137,0.090400,1.637676,0.752367,0.481931,0.554854,0.829141,-0.345082,0.369187,1.455421,0.552096,-0.073537,-0.218677,0.006056,-0.242767,0
138,0.160988,0.430756,-0.052835,0.154138,-0.493051,-0.371367,0.067508,-0.661722,-0.847682,-0.277797,-0.242058,0.125054,0.027440,0.525849,0
139,-1.053570,0.663867,-0.726372,0.089985,-0.106203,-0.897994,0.320665,-0.484727,-0.951340,-1.820559,-1.050726,-1.787558,-1.517271,-1.123641,0
140,-0.155357,-1.111431,-0.087527,0.171114,-1.224956,-0.432665,-0.583177,-0.718684,-0.635407,-0.633785,-1.464499,-0.519516,0.384639,1.013252,1
141,3.518185,2.695997,0.673724,2.299877,0.273605,-0.295297,0.318460,-0.650648,-0.136030,-0.009873,0.694454,0.851363,1.127410,2.793094,0
142,0.375844,-1.446381,0.281199,-0.763645,-0.819454,-0.048337,1.225631,0.700437,0.004081,-0.831362,-1.405325,0.865484,0.476263,0.107561,1
143,-2.382127,2.515823,-2.152394,0.972639,0.243126,-0.396772,-0.306058,-1.896177,-2.303380,-2.081444,-3.727199,-3.459425,-4.197954,-4.245239,0
144,0.031195,-0.122116,-0.144027,0.491210,0.603889,0.801166,1.280568,1.461507,2.156516,3.248118,0.629322,-0.463241,1.244236,0.006924,1
145,-0.829730,-1.687112,-0.471164,-1.169847,-1.292983,-0.328387,-1.050779,0.244792,-1.014363,0.235172,-0.369971,-0.826872,-0.543073,-0.213623,0
146,-1.735402,0.065585,-1.772630,-1.282325,0.252168,-0.003444,0.560566,-0.191040,-1.205386,-0.833423,-1.438110,-1.516246,-1.812347,-1.991967,1
147,-1.574825,-0.552841,-0.703331,-0.217800,-0.196510,-0.144193,-0.160558,-1.332535,-1.073015,-0.811439,-0.689056,-0.830398,-0.526742,-1.447602,0
148,-0.633164,-1.041479,0.232050,-0.396386,-0.781118,-0.984136,-1.515902,-1.269428,-1.239997,-0.542874,-0.586985,-1.229973,-0.417519,-0.959008,0
149,1.253618,0.436809,1.178088,1.833382,1.108579,0.024351,0.426862,0.292433,-0.481621,0.885302,0.897024,0.987681,1.423692,0.820749,1
150,-0.158700,-0.241379,-0.766589,-0.843395,-0.918616,0.136620,0.529048,-0.472567,0.035887,-0.715924,-0.680561,-1.397669,-0.653131,-0.636574,0
151,-0.343566,-0.912672,-0.450699,-0.276023,-0.385945,-1.417829,-2.060473,-0.626803,-0.347046,-0.913891,-0.340836,0.120139,0.129508,-0.521495,1
152,0.017162,-0.567960,0.499157,-1.796327,-0.938520,-1.461981,0.984546,0.265962,0.001612,0.926919,1.756768,1.132325,1.874647,1.407006,1
153,-0.997612,0.023173,-0.274622,0.328570,0.559747,0.373029,0.325045,0.345215,0.165752,-0.639727,0.323638,-0.175877,-0.638308,-0.390077,0
154,-0.152389,-1.810614,-0.666435,-1.983254,-1.232056,-2.116411,0.731342,-0.414074,0.769274,-0.027232,0.794714,0.957532,0.618140,0.947673,1
155,-0.155358,-0.068166,0.846855,-0.101466,-0.712339,0.265221,-1.850965,-0.890725,-0.839958,-0.412548,-2.096247,-0.360361,-0.029028,-0.013440,0
156,0.379981,0.279566,1.057387,0.785296,0.224876,-0.476765,0.122720,1.161197,1.188995,1.570787,1.586636,1.598450,0.560254,0.702061,1
157,0.662219,0.789648,0.255740,0.819222,-0.728250,-0.737761,-0.238548,-0.168019,-0.286514,-1.323252,-0.295027,-0.311380,-0.043093,-1.057336,0
158,0.964363,0.223497,1.518216,0.953898,2.663260,2.295416,2.642049,2.306970,2.305192,2.123195,0.386016,1.549543,0.557650,0.753322,1
159,0.108740,-1.782091,0.396962,-0.958293,-0.876279,-0.196533,0.984657,1.403026,0.598235,1.044115,0.013822,0.646438,-0.475873,0.727051,1
160,2.965851,1.105655,1.960602,1.082820,0.839917,0.855116,0.810294,0.309359,1.290302,2.586636,2.808183,2.522181,4.296101,4.005946,1
161,-0.628756,0.246841,0.672975,0.006204,-0.067748,0.586724,1.296475,0.347361,0.039471,0.042963,1.075356,1.157161,0.230257,0.358472,1
162,-1.019352,1.506497,0.964604,2.265615,3.082784,2.278777,1.721001,1.096897,1.252313,0.364393,-0.091496,0.286066,0.016442,-0.943612,0
163,0.514686,-0.424994,0.928620,1.042056,0.149113,0.500903,-0.799121,0.289382,0.680497,0.840908,0.714176,0.368182,0.248891,0.667227,0
164,0.533151,0.325505,0.082869,0.172771,-0.071066,-0.519938,0.783135,-0.600149,0.303820,0.640845,-0.413156,-0.440213,0.432535,-0.356347,1
165,0.491301,-0.035808,0.385541,0.121718,-1.415639,0.016473,-0.233428,0.005816,0.432266,-0.414786,0.400433,0.296287,0.228037,0.856346,0
166,-0.721500,-0.996569,-0.609714,-1.397992,-0.804541,-0.952702,-0.935416,0.125183,-0.570510,0.536418,-0.848451,-1.136180,-0.270073,-0.383965,0
167,-0.274855,-0.390163,-0.972375,-0.907787,-0.524587,-0.975435,0.037175,0.802645,-0.061630,0.454999,0.288093,-0.052667,-0.344883,-0.237136,1
168,-0.221356,-0.578084,-0.380688,-0.412012,-0.090568,-0.514803,0.371193,1.020518,-0.220984,-0.017865,1.269068,0.452410,-0.048554,-0.307726,1
169,-0.803269,0.028464,0.346858,-0.347724,0.637391,0.188191,1.011310,0.520417,0.840972,0.583559,-0.128190,-0.230851,-0.483959,-0.424840,0
